Airline,Flight Number,Departure City,Departure Time,Arrival City,Arrival Time,Duration,Stops,Fare Type,Fare Price,Cancellation Policy,Date Change Policy,Seat Selection,Checked Baggage,Hand Baggage,Meal,Scraped At
IndiGo,6E-7248/6E-2473,Hyderabad(HYD),18:45,New Delhi(DEL),00:05,5h 20m,Not Available,Saver Fare,23805,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:15:17.640758
IndiGo,6E-7248/6E-2473,Hyderabad(HYD),18:45,New Delhi(DEL),00:05,5h 20m,Not Available,Flexi Plus,24855,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:15:17.709133
IndiGo,6E-7248/6E-2473,Hyderabad(HYD),18:45,New Delhi(DEL),00:05,5h 20m,Not Available,Super 6E,26955,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:15:17.775650
IndiGo,6E-7248/6E-2473,Hyderabad(HYD),18:45,New Delhi(DEL),00:05,5h 20m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:17.791774
Air India,IX-9571/AI-2802,Hyderabad(HYD),08:30,New Delhi(DEL),22:10,13h 40m,Not Available,Value,24331,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:15:18.983098
Air India,IX-9571/AI-2802,Hyderabad(HYD),08:30,New Delhi(DEL),22:10,13h 40m,Not Available,Classic,25381,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:15:19.049426
Air India,IX-9571/AI-2802,Hyderabad(HYD),08:30,New Delhi(DEL),22:10,13h 40m,Not Available,Flex,27473,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",25 Kgs,7 Kg,Complimentary,2025-11-26 16:15:19.114001
Air India,IX-9571/AI-2802,Hyderabad(HYD),08:30,New Delhi(DEL),22:10,13h 40m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:19.126180
Air India,IX-9575/AI-2802,Hyderabad(HYD),10:50,New Delhi(DEL),22:10,11h 20m,Not Available,Value,24331,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",15 Kgs,7 Kg,Complimentary,2025-11-26 16:15:20.330156
Air India,IX-9575/AI-2802,Hyderabad(HYD),10:50,New Delhi(DEL),22:10,11h 20m,Not Available,Classic,25381,Yes,Yes,"Standard: Limited Free
Preferred: Chargeable",20 Kgs,7 Kg,Complimentary,2025-11-26 16:15:20.400320
